sku,name,description,price
SKU00001,"Product 1","Description for product 1",9.79
SKU00002,"Product 2","Description for product 2",22.08
SKU00003,"Product 3","Description for product 3",42.76
SKU00004,"Product 4","Description for product 4",76.19
SKU00005,"Product 5","Description for product 5",70
SKU00006,"Product 6","Description for product 6",11.24
SKU00007,"Product 7","Description for product 7",56.56
SKU00008,"Product 8","Description for product 8",31.49
SKU00009,"Product 9","Description for product 9",22.94
SKU00010,"Product 10","Description for product 10",56.54
SKU00011,"Product 11","Description for product 11",31.87
SKU00012,"Product 12","Description for product 12",81.89
SKU00013,"Product 13","Description for product 13",71.64
SKU00014,"Product 14","Description for product 14",44.09
SKU00015,"Product 15","Description for product 15",77.09
SKU00016,"Product 16","Description for product 16",74.81
SKU00017,"Product 17","Description for product 17",7.47
SKU00018,"Product 18","Description for product 18",77.92
SKU00019,"Product 19","Description for product 19",21.05
SKU00020,"Product 20","Description for product 20",46.87
SKU00021,"Product 21","Description for product 21",49.11
SKU00022,"Product 22","Description for product 22",78.25
SKU00023,"Product 23","Description for product 23",91.58
SKU00024,"Product 24","Description for product 24",93.68
SKU00025,"Product 25","Description for product 25",66.96
SKU00026,"Product 26","Description for product 26",69.17
SKU00027,"Product 27","Description for product 27",90.39
SKU00028,"Product 28","Description for product 28",33.49
SKU00029,"Product 29","Description for product 29",10.34
SKU00030,"Product 30","Description for product 30",24
SKU00031,"Product 31","Description for product 31",62.44
SKU00032,"Product 32","Description for product 32",25.53
SKU00033,"Product 33","Description for product 33",27.63
SKU00034,"Product 34","Description for product 34",66.34
SKU00035,"Product 35","Description for product 35",78.07
SKU00036,"Product 36","Description for product 36",64.35
SKU00037,"Product 37","Description for product 37",17.84
SKU00038,"Product 38","Description for product 38",58.15
SKU00039,"Product 39","Description for product 39",30.81
SKU00040,"Product 40","Description for product 40",14.67
SKU00041,"Product 41","Description for product 41",74.88
SKU00042,"Product 42","Description for product 42",64.96
SKU00043,"Product 43","Description for product 43",83.31
SKU00044,"Product 44","Description for product 44",72.76
SKU00045,"Product 45","Description for product 45",83.51
SKU00046,"Product 46","Description for product 46",42.64
SKU00047,"Product 47","Description for product 47",15.35
SKU00048,"Product 48","Description for product 48",85.74
SKU00049,"Product 49","Description for product 49",11.99
SKU00050,"Product 50","Description for product 50",51.8
SKU00051,"Product 51","Description for product 51",20.73
SKU00052,"Product 52","Description for product 52",4.2
SKU00053,"Product 53","Description for product 53",65.82
SKU00054,"Product 54","Description for product 54",71.74
SKU00055,"Product 55","Description for product 55",58.59
SKU00056,"Product 56","Description for product 56",89.58
SKU00057,"Product 57","Description for product 57",11.53
SKU00058,"Product 58","Description for product 58",93.42
SKU00059,"Product 59","Description for product 59",45.39
SKU00060,"Product 60","Description for product 60",83.49
SKU00061,"Product 61","Description for product 61",66.86
SKU00062,"Product 62","Description for product 62",53.81
SKU00063,"Product 63","Description for product 63",93.25
SKU00064,"Product 64","Description for product 64",51.15
SKU00065,"Product 65","Description for product 65",37.99
SKU00066,"Product 66","Description for product 66",21.81
SKU00067,"Product 67","Description for product 67",75.36
SKU00068,"Product 68","Description for product 68",3.08
SKU00069,"Product 69","Description for product 69",36.54
SKU00070,"Product 70","Description for product 70",42.27
SKU00071,"Product 71","Description for product 71",66.53
SKU00072,"Product 72","Description for product 72",81.29
SKU00073,"Product 73","Description for product 73",1.8
SKU00074,"Product 74","Description for product 74",24.87
SKU00075,"Product 75","Description for product 75",34.45
SKU00076,"Product 76","Description for product 76",27.1
SKU00077,"Product 77","Description for product 77",42.66
SKU00078,"Product 78","Description for product 78",4.68
SKU00079,"Product 79","Description for product 79",91.51
SKU00080,"Product 80","Description for product 80",89.46
SKU00081,"Product 81","Description for product 81",26.31
SKU00082,"Product 82","Description for product 82",13.25
SKU00083,"Product 83","Description for product 83",96.87
SKU00084,"Product 84","Description for product 84",53.76
SKU00085,"Product 85","Description for product 85",37.4
SKU00086,"Product 86","Description for product 86",94.72
SKU00087,"Product 87","Description for product 87",13.46
SKU00088,"Product 88","Description for product 88",63.43
SKU00089,"Product 89","Description for product 89",63.67
SKU00090,"Product 90","Description for product 90",31.14
SKU00091,"Product 91","Description for product 91",60.42
SKU00092,"Product 92","Description for product 92",74.57
SKU00093,"Product 93","Description for product 93",8.55
SKU00094,"Product 94","Description for product 94",10.91
SKU00095,"Product 95","Description for product 95",98.46
SKU00096,"Product 96","Description for product 96",60.74
SKU00097,"Product 97","Description for product 97",92.06
